Date,DataType
2/17/2011,aerial
2/24/2011,aerial
3/4/2011,aerial
3/8/2011,aerial
3/13/2011,aerial
3/17/2011,aerial
3/20/2011,aerial
3/23/2011,aerial
3/25/2011,aerial
3/30/2011,aerial
4/19/2011,aerial
4/22/2011,aerial
4/24/2011,aerial
4/25/2011,aerial
4/29/2011,aerial
5/3/2011,aerial
1/7/2012,aerial
1/16/2012,aerial
1/23/2012,aerial
1/26/2012,aerial
2/2/2012,aerial
2/5/2012,aerial
2/9/2012,aerial
2/15/2012,aerial
2/27/2012,aerial
2/29/2012,aerial
3/4/2012,aerial
3/17/2012,aerial
3/20/2012,aerial
3/23/2012,aerial
4/1/2012,aerial
4/6/2012,aerial
4/13/2012,aerial
4/17/2012,aerial
4/19/2012,aerial
4/26/2012,aerial
5/3/2012,aerial
5/7/2012,aerial
1/28/2013,aerial
2/5/2013,aerial
2/13/2013,aerial
2/19/2013,aerial
2/23/2013,aerial
3/11/2013,aerial
3/13/2013,aerial
3/18/2013,aerial
3/21/2013,aerial
3/27/2013,aerial
3/30/2013,aerial
4/4/2013,aerial
4/8/2013,aerial
4/10/2013,aerial
4/15/2013,aerial
4/17/2013,aerial
4/21/2013,aerial
4/26/2013,aerial
4/29/2013,aerial
5/1/2013,aerial
5/5/2013,aerial
3/1/2014,aerial
3/4/2014,aerial
3/17/2014,aerial
3/18/2014,aerial
3/23/2014,aerial
3/25/2014,aerial
4/2/2014,aerial
4/4/2014,aerial
4/6/2014,aerial
4/9/2014,aerial
4/12/2014,aerial
4/18/2014,aerial
4/21/2014,aerial
4/25/2014,aerial
5/2/2014,aerial
5/9/2014,aerial
2/18/2015,aerial
2/24/2015,aerial
2/28/2015,aerial
3/3/2015,aerial
3/6/2015,aerial
3/20/2015,aerial
3/25/2015,aerial
3/31/2015,aerial
4/6/2015,aerial
4/12/2015,aerial
4/15/2015,aerial
4/18/2015,aerial
4/19/2015,aerial
4/22/2015,aerial
4/25/2015,aerial
4/27/2015,aerial
4/29/2015,aerial
5/4/2015,aerial
5/6/2015,aerial
5/8/2015,aerial
5/11/2015,aerial
5/15/2015,aerial
2/17/2016,aerial
2/19/2016,aerial
2/21/2016,aerial
2/27/2016,aerial
3/1/2016,aerial
3/6/2016,aerial
3/8/2016,aerial
3/19/2016,aerial
3/27/2016,aerial
3/30/2016,aerial
4/6/2016,aerial
4/9/2016,aerial
4/13/2016,aerial
4/17/2016,aerial
4/18/2016,aerial
4/21/2016,aerial
4/25/2016,aerial
4/27/2016,aerial
4/28/2016,aerial
4/29/2016,aerial
5/6/2016,aerial
5/9/2016,aerial
2/24/2017,aerial
2/28/2017,aerial
3/6/2017,aerial
3/18/2017,aerial
3/21/2017,aerial
3/26/2017,aerial
3/31/2017,aerial
4/3/2017,aerial
4/9/2017,aerial
4/12/2017,aerial
4/14/2017,aerial
4/17/2017,aerial
4/23/2017,aerial
4/28/2017,aerial
4/30/2017,aerial
5/4/2017,aerial
5/9/2017,aerial
2/13/2018,aerial
2/17/2018,aerial
2/24/2018,aerial
2/27/2018,aerial
3/12/2018,aerial
3/20/2018,aerial
3/28/2018,aerial
4/3/2018,aerial
4/7/2018,aerial
4/10/2018,aerial
4/11/2018,aerial
4/13/2018,aerial
4/21/2018,aerial
4/22/2018,aerial
4/27/2018,aerial
4/30/2018,aerial
5/4/2018,aerial
5/6/2018,aerial
5/9/2018,aerial
5/14/2018,aerial