,c_uniqueUnitID,between_days,DataType
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-17,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-18,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-19,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-20,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-21,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-22,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-23,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-24,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-25,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-26,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-27,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-02-28,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-01,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-02,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-03,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-04,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-05,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-06,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-07,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-08,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-09,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-10,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-11,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-12,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-13,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-14,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-15,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-16,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-17,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-18,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-19,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-20,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-21,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-22,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-23,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-24,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-25,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-26,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-27,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-28,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-29,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-30,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-03-31,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-01,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-02,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-03,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-04,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-05,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-06,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-07,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-08,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-09,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-10,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-11,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-12,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-13,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-14,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-15,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-16,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-17,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-18,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-19,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-20,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-21,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-22,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-23,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-24,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-25,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-26,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-27,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-28,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-29,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-04-30,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-05-01,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-05-02,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-05-03,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-05-04,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-05-05,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-05-06,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-05-07,acoustic
0,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,2011-05-08,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-01-28,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-01-29,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-01-30,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-01-31,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-01,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-02,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-03,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-04,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-05,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-06,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-07,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-08,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-09,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-10,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-11,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-12,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-13,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-14,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-15,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-16,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-17,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-18,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-19,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-20,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-21,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-22,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-23,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-24,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-25,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-26,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-27,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-02-28,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-01,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-02,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-03,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-04,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-05,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-06,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-07,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-08,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-09,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-10,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-11,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-12,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-13,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-14,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-15,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-16,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-17,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-18,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-19,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-20,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-21,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-22,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-23,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-24,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-25,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-26,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-27,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-28,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-29,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-30,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-03-31,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-01,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-02,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-03,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-04,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-05,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-06,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-07,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-08,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-09,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-10,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-11,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-12,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-13,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-14,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-15,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-16,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-17,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-18,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-19,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-20,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-21,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-22,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-23,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-24,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-25,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-26,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-27,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-28,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-29,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-04-30,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-05-01,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-05-02,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-05-03,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-05-04,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-05-05,acoustic
8,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,2013-05-06,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-07,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-08,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-09,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-10,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-11,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-12,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-13,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-14,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-15,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-16,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-17,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-18,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-19,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-20,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-21,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-22,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-23,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-24,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-25,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-26,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-27,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-02-28,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-03-01,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-03-02,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-03-03,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-03-04,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-03-05,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-03-06,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-03-07,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-03-08,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-03-09,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-03-10,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-03-11,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-03-12,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-03-13,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-03-14,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-03-15,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-03-16,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-03-17,acoustic
21,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,2014-03-18,acoustic
