,name,iso_a3,Count
0,Argentina,ARG,906
1,Australia,AUS,1369
2,Aruba,ABW,45
3,Belgium,BEL,1684
4,Brazil,BRA,291
5,Canada,CAN,4742
6,Dem. Rep. Congo,COD,227
7,Switzerland,CHE,1261
8,China,CHN,760
9,Colombia,COL,424
10,Costa Rica,CRI,1031
11,Germany,DEU,2205
12,Denmark,DNK,1550
13,Ecuador,ECU,117
14,Egypt,EGY,150
15,Spain,ESP,4526
16,France,FRA,2121
17,United Kingdom,GBR,5966
18,Georgia,GEO,421
19,Greece,GRC,1052
20,Hong Kong,HKG,335
21,Hungary,HUN,108
22,Ireland,IRL,530
23,India,IND,981
24,Iceland,ISL,368
25,Italy,ITA,2906
26,Jamaica,JAM,1027
27,Kenya,KEN,1194
28,South Korea,KOR,69
29,South Korea,KOR,69
30,Sri Lanka,LKA,190
31,Lithuania,LTU,161
32,Moldova,MDA,87
33,Myanmar,MMR,282
34,Myanmar,MMR,282
35,Malta,MLT,567
36,Mauritius,MUS,653
37,Mexico,MEX,2917
38,Malaysia,MYS,668
39,Netherlands,NLD,481
40,Norway,NOR,1550
41,New Zealand,NZL,405
42,,,172
43,Peru,PER,574
44,Philippines,PHL,702
45,Pakistan,PAK,248
46,Pitcairn Islands,PCN,534
47,Puerto Rico,PRI,229
48,Portugal,PRT,1607
49,Romania,ROU,507
50,Solomon Is.,SLB,173
51,Seychelles,SYC,273
52,Sweden,SWE,2411
53,Slovenia,SVN,85
54,El Salvador,SLV,270
55,Thailand,THA,213
56,Taiwan,TWN,197
57,Taiwan,TWN,197
58,United States of America,USA,99384
59,South Africa,ZAF,208