c_recordOnDays,c_uniqueUnitID,deployDate,deploymentDepth_Meters,dutyCycle_Flag,latitudeDeployed_DecDeg,longitudeDeployed_DecDeg,recoveryDate,samplingRate_Hz
71,2011_BRP_CCB_S1016_Dep20_20110217_PU0205_FD02018_CCB20,02/17/2011,37.20 ,N,41.941200 ,-70.288000,05/08/2011,5000
80,2011_BRP_CCB_S1016_Dep20_20110217_PU0206_FD02008_CCB20,02/17/2011,30.50 ,N,41.877100 ,-70.254000,05/08/2011,5000
80,2011_BRP_CCB_S1016_Dep20_20110217_PU0207_FD02006_CCB20,02/17/2011,30.90 ,N,41.894800 ,-70.443900,05/08/2011,5000
80,2011_BRP_CCB_S1016_Dep20_20110217_PU0208_FD02020_CCB20,02/17/2011,32.10 ,N,41.933400 ,-70.185900,05/08/2011,5000
80,2011_BRP_CCB_S1016_Dep20_20110217_PU0209_FD02000_CCB20,02/17/2011,42.10 ,N,41.950800 ,-70.390100,05/08/2011,5000
80,2011_BRP_CCB_S1016_Dep20_20110217_PU0211_FD02002_CCB20,02/17/2011,36.40 ,N,41.971100 ,-70.476500,05/08/2011,5000
80,2011_BRP_CCB_S1016_Dep20_20110217_PU0212_FD02016_CCB20,02/17/2011,40.50 ,N,41.993100 ,-70.220100,05/08/2011,5000
80,2011_BRP_CCB_S1016_Dep20_20110217_PU0213_FD02010_CCB20,02/17/2011,31.00 ,N,41.876200 ,-70.341200,05/08/2011,5000
100,2013_BRP_CCB_S1011_Dep22_20130126_PU0016_FD02130,01/28/2013,37.20 ,N,41.940750 ,-70.287483,05/06/2013,5000
100,2013_BRP_CCB_S1011_Dep22_20130126_PU0136_FD02060,01/28/2013,31.70 ,N,41.876133 ,-70.340580,05/06/2013,5000
100,2013_BRP_CCB_S1011_Dep22_20130126_PU0151_FD02136,01/28/2013,43.30 ,N,41.951033 ,-70.389150,05/06/2013,5000
100,2013_BRP_CCB_S1011_Dep22_20130126_PU0153_FD02138,01/28/2013,40.20 ,N,41.947317 ,-70.338100,05/06/2013,5000
100,2013_BRP_CCB_S1011_Dep22_20130126_PU0190_FD02122,01/28/2013,29.00 ,N,41.877500 ,-70.253983,05/06/2013,5000
100,2013_BRP_CCB_S1011_Dep22_20130126_PU0191_FD02150,01/28/2013,37.50 ,N,41.992600 ,-70.220250,05/06/2013,5000
100,2013_BRP_CCB_S1011_Dep22_20130126_PU0204_FD02044,01/28/2013,33.20 ,N,41.894383 ,-70.443600,05/06/2013,5000
100,2013_BRP_CCB_S1011_Dep22_20130126_PU0215_FD02020,01/28/2013,29.60 ,N,41.933150 ,-70.186367,05/06/2013,5000
100,2013_BRP_CCB_S1011_Dep22_20130126_PU0220_FD02082,01/28/2013,36.90 ,N,41.971383 ,-70.476117,05/06/2013,5000
81,2014_BRP_CCB_S1037_Dep23_20140301_PU0076_FD02438_MARU,03/01/2014,,N,41.937517 ,-70.237367,05/21/2014,5000
81,2014_BRP_CCB_S1037_Dep23_20140301_PU0092_FD02468_MARU,03/01/2014,,N,41.967333 ,-70.254500,05/21/2014,5000
81,2014_BRP_CCB_S1037_Dep23_20140301_PU0116_FD02420_MARU,03/01/2014,,N,41.963500 ,-70.203417,05/21/2014,5000
74,2014_BRP_CCB_S1037_Dep23_20140301_PU0188_FD10020_MARU,03/01/2014,,N,41.956300 ,-70.231367,05/21/2014,5000
172,2014_BRP_CCB_S1038_Dep23_20140131_AM0269_AM00000,02/07/2014,30.00 ,N,41.956300 ,-70.231333,05/17/2014,64000
93,2015_BRP_CCB_S1059_Dep24_20150217_PU0148_FD02640,02/17/2015,38.00 ,N,41.967800 ,-70.255667,05/21/2015,5000
93,2015_BRP_CCB_S1059_Dep24_20150217_PU0171_FD02646,02/17/2015,34.00 ,N,41.956767 ,-70.231400,05/21/2015,5000
93,2015_BRP_CCB_S1059_Dep24_20150217_PU0214_FD02630,02/17/2015,33.00 ,N,41.937533 ,-70.237400,05/21/2015,5000
93,2015_BRP_CCB_S1059_Dep24_20150217_PU0220_FD02618,02/17/2015,32.00 ,N,41.963767 ,-70.204200,05/21/2015,5000
111,2016_BRP_CCB_S1060_Dep25_20160214_PU0163_FD02810,02/15/2016,34.10 ,N,41.957367 ,-70.230967,05/25/2016,5000
111,2016_BRP_CCB_S1060_Dep25_20160214_PU0171_FD02832,02/15/2016,32.00 ,N,41.964167 ,-70.202900,05/25/2016,5000
111,2016_BRP_CCB_S1060_Dep25_20160214_PU0212_FD02802,02/15/2016,33.50 ,N,41.938167 ,-70.237300,05/25/2016,5000
111,2016_BRP_CCB_S1060_Dep25_20160214_PU0214_FD02794,02/15/2016,37.50 ,N,41.968683 ,-70.254483,05/25/2016,5000
106,2017_BRP_CCB_S1073_Dep26_20170219_PU0100_FD02990_CCB,02/21/2017,37.50 ,N,41.967545 ,-70.254935,05/16/2017,5000
110,2017_BRP_CCB_S1073_Dep26_20170219_PU0142_FD02974_CCB,02/21/2017,33.40 ,N,41.937605 ,-70.237658,05/16/2017,5000
113,2017_BRP_CCB_S1073_Dep26_20170219_PU0232_FD02980_CCB,02/21/2017,34.30 ,N,41.956485 ,-70.232118,05/16/2017,5000
107,2017_BRP_CCB_S1073_Dep26_20170219_PU0239_FD02972_CCB,02/21/2017,32.10 ,N,41.963688 ,-70.204048,05/16/2017,5000
106,2018_BRP_CCB_S1074_Dep27_20180213_PU0202_FD03186,02/13/2018,,N,41.956650 ,-70.233150,05/30/2018,5000
106,2018_BRP_CCB_S1074_Dep27_20180213_PU0207_FD03184,02/13/2018,,N,41.967430 ,-70.255260,05/30/2018,5000
106,2018_BRP_CCB_S1074_Dep27_20180213_PU0214_FD03182,02/13/2018,,N,41.963516 ,-70.203483,05/30/2018,5000
106,2018_BRP_CCB_S1074_Dep27_20180213_PU0222_FD03178,02/13/2018,,N,41.937667 ,-70.237983,05/30/2018,5000